rank,group,org_type,city,country,why_they_are_a_fit,why_this_rank,fit_for_1kg_non_nuclear_bar,has_own_tvac,likely_to_enter,anchor_potential,buzz_if_they_enter,best_contact_path,named_contact,website,notes
11,University of Michigan Exploration Laboratory (MXL),university lab,Ann Arbor MI,USA,"Flown multiple CubeSats (RAX, TBEx, MARIO). Clean room, vibe, ground stations. Uses campus SPRL for environmental test. Director previously ran Stanford SSDL.","Flight-heritage CubeSat lab. They know cold-start electronics and beacons. Chamber is next door rather than in-house, which is still a solved problem.",strong,via UM SPRL,high,medium,medium,"James W. Cutler, jwcutler@umich.edu, 734-615-7238; mxl-contact@umich.edu",James W. Cutler,https://exploration.engin.umich.edu/,"Cutler came from Stanford SSDL — he is also a node into the Stanford/Cal Poly CubeSat world."
12,Purdue CubeSat / High Vacuum Facility,university lab,West Lafayette IN,USA,"High Vacuum Facility in the Aerospace Sciences Lab (three chambers). Active CubeSat program. Lunabotics autonomy finalist (4th, 2026).","Chamber + CubeSat + a prize-fluent student robotics culture. Easy to field a joint aero/EE team.",perfect,yes,high,medium,medium,engineering.purdue.edu/CubeSat; Lunabotics team advisor as a second door,Purdue CubeSat faculty advisor,https://engineering.purdue.edu/CubeSat/capabilities,Use the Lunabotics team as the warm intro if the CubeSat faculty is slow.
13,University of Colorado Boulder — LASP / Aerospace senior projects,university lab,Boulder CO,USA,"LASP has four TVAC chambers open to external users and a SmallSat lab (Rick Kohnert). CU Boulder aero senior-design teams regularly build flight-like hardware. Adjacent to a dense Boulder/Golden lunar-startup cluster.","The chambers are real and bookable. The competitor is more likely a student team using LASP than LASP staff themselves — still counts, and LASP can also be a host.",strong,yes (LASP),medium,medium,medium,"Kush Tyagi (kush.tyagi@lasp.colorado.edu) for chambers; CU aero faculty for a student team; 303-492-6412 front desk",Kush Tyagi (chambers) / CU aero senior-design coordinator,https://lasp.colorado.edu/our-expertise/engineering/calibration-testing/engineering-facilities/thermal-vacuum-capabilities/,"Two asks: (1) a CU student team enters; (2) LASP considers hosting the common run."
14,UVA Mechatronics and Robotics Society (MARS) — 2026 Lunabotics champions,student team,Charlottesville VA,USA,"Just won the 2026 Lunabotics Off-World Grand Prize and Innovation Award. Student-run, already in a build-test-compete cadence, coming off a public win.","Highest-momentum student team in the country right now. They do not have a cryo TVAC, so we must broker access. They will take the meeting.",medium,no,high,medium,high,UVA Engineering news desk / MARS officers; NASA Lunabotics staff can intro,MARS team leads (via UVA Engineering),https://engineering.virginia.edu/news-events/news/uva-engineerings-mars-team-wins-nasa-2026-lunabotics-championship,"Off-season project pitch: 'your rover season just ended; this is a 1 kg box, not another rover.'"
15,University of Alabama in Huntsville — Lunabotics autonomy + systems winners,student team,Huntsville AL,USA,"1st in 2026 Lunabotics autonomy and systems-engineering paper. Sits next to Marshall Space Flight Center, which already hosted Break the Ice TVAC perks.","Prize-fluent, in the one city on Earth where 'can we borrow a chamber' is a reasonable question. Marshall relationship is the hidden asset.",medium,via Marshall / campus,high,medium,medium,UAH team advisor; Marshall Centennial Challenges alumni as a warm path,UAH Lunabotics advisor,https://www.nasa.gov/centers-and-facilities/kennedy/nasas-2026-lunabotics-winning-student-teams-engineering-lunar-future/,If Marshall will not host the common run, UAH is the team most likely to get a day in a Huntsville chamber anyway.
16,College of DuPage Lunabotics (2026 Construction 1st),student team,Glen Ellyn IL,USA,"Community-college team that beat research universities in construction. Student-run, scrappy, already ships hardware on a budget.","The $5k purse and 'no radioisotopes, garage-buildable' framing is aimed at exactly this team. High yes-rate, lower chamber access.",medium,no,high,low,medium,Team advisor via NASA Lunabotics guidebook contacts,COD Lunabotics advisor,https://www.nasa.gov/centers-and-facilities/kennedy/nasas-2026-lunabotics-winning-student-teams-engineering-lunar-future/,Pair them with a host chamber from day one or they stall.
17,New Mexico Tech Lunabotics (2026 Presentations 1st),student team,Socorro NM,USA,"1st in 2026 presentations/demos. Socorro has a hands-on aerospace culture and is used to field hardware in harsh conditions.","Solid student team, prize-fluent, likely to take a 1 kg thermal project as a senior-design. Chamber is the gap.",medium,no,medium,low,low,Team advisor via Lunabotics,NMT Lunabotics advisor,https://www.nasa.gov/centers-and-facilities/kennedy/nasas-2026-lunabotics-winning-student-teams-engineering-lunar-future/,
18,Michigan Tech Lunabotics (construction 3rd + PSTDL sibling),student team,Houghton MI,USA,"Separate from PSTDL/HuskyWorks but same campus. Construction 3rd and presentations honorable mention in 2026.","If PSTDL enters as the lab, this is the student-only sibling team — useful as a second Houghton entry or as the actual student crew inside a PSTDL entry.",medium,yes (via PSTDL),medium,low,low,Via PSTDL / van Susante,PSTDL student leads,https://huskyworks.space/,"Do not double-count with rank 1. Use as the student crew of a PSTDL entry unless they want their own slot."
19,Iowa State Lunabotics (comms-power award),student team,Ames IA,USA,"Won the 2026 Efficient Use of Communications Power award — i.e. they already think about power budgets. Ames is an aerospace town.","Power-budget fluency is the right instinct for a hibernation payload. Chamber access is the gap.",medium,no,medium,low,low,Team advisor via Lunabotics,ISU Lunabotics advisor,https://www.nasa.gov/centers-and-facilities/kennedy/nasas-2026-lunabotics-winning-student-teams-engineering-lunar-future/,
20,University of Utah Lunabotics (autonomy 3rd),student team,Salt Lake City UT,USA,2026 autonomy 3rd. Utah has a growing smallsat scene (Utah State / SDL nearby).,"Autonomy team pivoting to thermal is a stretch, but they are prize-fluent and in a state with real environmental-test infrastructure at SDL.",medium,via USU SDL possibly,medium,low,low,Team advisor; Space Dynamics Lab as a chamber conversation,Utah Lunabotics advisor,https://www.nasa.gov/centers-and-facilities/kennedy/nasas-2026-lunabotics-winning-student-teams-engineering-lunar-future/,"SDL is a government contractor lab — more likely a HOST than a competitor."
21,Northwestern / Laredo College / Virginia State / UIUC Lunabotics (systems-engineering awardees),student team,various,USA,"2026 systems-engineering paper and first-year awards. UIUC in particular has a deep aero program and a 2026 'Rocket Award' for systems-engineering mastery.","Treat as a single outreach batch, not four separate pursuits. One well-written Lunabotics-alumni email to all four advisors.",medium,no,medium,low,low,Batch email via NASA Lunabotics staff (they have the advisor list),Lunabotics advisor list,https://www.nasa.gov/learning-resources/lunabotics-challenge/,One email. Do not spend a week on these until the top 10 have been called.
22,MIT Space Systems Lab / AeroAstro CubeSat groups,university lab,Cambridge MA,USA,"World-class smallsat and space-systems lab. Students regularly build flight hardware. RASC-AL 2026 winners on lunar power (ECLIPSE) sit in the same department.","Prestige if they enter. Risk: they are busy with real flight programs and may see $5k as not worth a faculty meeting. Still worth one well-aimed email because of the RASC-AL power team.",strong,campus / MIT Lincoln,medium,yes,very high,AeroAstro faculty; the 2026 RASC-AL ECLIPSE team as the warm door,RASC-AL ECLIPSE student leads / AeroAstro,https://www.nasa.gov/directorates/stmd/prizes-challenges-crowdsourcing-program/center-of-excellence-for-collaborative-innovation-coeci/nasa-announces-winners-of-2026-university-innovation-competition/,"Lead with the RASC-AL power team, not the whole SSL. 'You just designed lunar power on paper — build the 1 kg night-survival brick.'"
23,Stanford Space Systems Development Lab (SSDL) / student smallsat groups,university lab,Stanford CA,USA,"Historic CubeSat lab (Cutler ran it before Michigan). Still produces student spacecraft. Bay Area hardware culture.","Prestige + student energy. Same risk as MIT: faculty attention is expensive. One email, then move on.",strong,campus,medium,medium,high,SSDL faculty / student leads; Cutler at Michigan can intro,SSDL student director,https://ssdl.stanford.edu/,If Cutler (rank 11) is friendly, ask him to make this intro.
24,Cal Poly CubeSat Lab (PolySat / CPCL) — distinct from STELLA,student team,San Luis Obispo CA,USA,"One of the original CubeSat programs. Decades of flown spacecraft. Shares a campus with the STELLA chamber (rank 9).","If STELLA's facility team does not enter, PolySat is the student group that should. Do not recruit both as separate roster slots unless they insist.",perfect,yes (STELLA),high,medium,medium,PolySat / CPCL student director; Abercromby as the faculty bridge to STELLA,PolySat student leads,https://polysat.calpoly.edu/,"Coordinate with rank 9 so Cal Poly fields ONE team."
25,USU / Space Dynamics Lab student + faculty groups,university lab,Logan UT,USA,"SDL is a real environmental-test house (TVAC, vibe, thermal) attached to a university. Student teams can sometimes get leftover chamber time.","More HOST than competitor, but a student team using SDL leftover time is a credible entry. One conversation covers both asks.",strong,yes,medium,medium,medium,USU aero faculty; SDL academic outreach,USU aero / SDL academic liaison,https://www.sdl.usu.edu/,Ask first whether they will host; enter second.
26,Embry-Riddle (Daytona + Prescott) smallsat / lunar teams,university lab,"Daytona Beach FL / Prescott AZ",USA,"Two campuses, both with spacecraft design programs. Prescott fielded a 2024 HuLC plume-mitigation team. Students are used to year-long hardware projects.",Deep student bench and a culture of entering NASA student challenges. Chamber access varies by campus.,medium,limited,medium,low,medium,Campus CubeSat / senior-design faculty at both sites,ERAU CubeSat advisors,https://erau.edu/,One email per campus. Daytona is the more likely hardware shop.
27,Texas A&M / UT Austin / Rice student space systems teams,student team,"College Station / Austin / Houston TX",USA,"Large aero programs, NASA JSC next door (Rice/UH/A&M pipeline), regular RASC-AL and Lunabotics participation.","Treat as a Texas batch. High student energy, mixed chamber access. JSC leftover TVAC time is a fantasy — do not plan on it — but campus chambers and Houston commercial TVAC vendors exist.",medium,mixed,medium,low,medium,Batch to the three aero student-org advisors,Texas Space Grant / campus advisors,https://www.tsgc.utexas.edu/,Space Grant office is the efficient node for all three.
28,University of Illinois Urbana-Champaign aero / CubeSat,university lab,Urbana IL,USA,"2026 Lunabotics Rocket Award. Large aero department. Has flown student spacecraft.","Good student team, mid-tier chamber access. One email via the Lunabotics advisor.",medium,limited,medium,low,low,Lunabotics / CubeSat advisor,UIUC aero student-org advisor,https://www.nasa.gov/centers-and-facilities/kennedy/nasas-2026-lunabotics-winning-student-teams-engineering-lunar-future/,
29,Astrolab (FLIP rover thermal team),company,Hawthorne CA,USA,"FLIP is designed to hibernate through 100 hours of lunar night by actuating solar arrays over radiators. Flying on Griffin-1. Night survival is a current, public engineering problem for them.","They are the most on-the-nose commercial team — and the least likely to enter a $5k open-source prize, because they are in flight test. Still worth one email: a 1 kg public demo of their hibernation architecture is cheap advertising if a junior engineer is allowed to run it.",strong,yes (commercial),low,yes,very high,Jaret Matthews / FLIP thermal lead via astrolab.space,Jaret Matthews,https://www.astrolab.space/flip-rover/,"Expect a no. The value of the email is (a) they say no but tweet the prize, or (b) a junior engineer enters as a side project."
30,Lunar Outpost (MAPP / Eagle thermal),company,Golden CO,USA,"Flew MAPP on IM-2. Building night-capable rovers. Same Golden cluster as Mines and Orbital Mining.","Same as Astrolab: right problem, wrong incentive — unless a small internal team wants a public 1 kg result. One email, via the Mines cluster if possible.",strong,yes,low,yes,very high,Mines CSR intro or Lunar Outpost academic outreach,Lunar Outpost engineering / academic liaison,https://www.lunaroutpost.com/,Better as a sponsor or judge than a competitor. Still ask.
31,ispace-U.S. (APEX / TENACIOUS thermal),company,Denver / Tokyo,USA / Japan,"Publicly collaborating with Zeno Power on lunar-night survival. Mission 3 (APEX 1.0) slated 2026. They care about this exact capability.","Nuclear-path company; our prize bans radioisotopes. They will not enter as a corporate team. A US engineering intern team doing a non-nuclear 1 kg demo is the only plausible path.",adjacent,yes,low,no,very high,ispace-U.S. academic / intern program,ispace-U.S. engineering outreach,https://ispace-inc.com/,"Do not pitch against Zeno. Pitch a non-nuclear student/intern side-car."
32,Firefly Aerospace Blue Ghost night-survival group,company,Cedar Park TX,USA,Publicly working lander night-survival for longer CLPS missions.,"Wrong scale and wrong incentive. One courtesy email to their academic outreach; do not chase.",adjacent,yes,very low,no,high,Academic / payload-customer outreach,Firefly payload services,https://fireflyspace.com/,Better as a future prize sponsor once generation 1 works.
33,Intuitive Machines night-survival / payload services,company,Houston TX,USA,Same as Firefly: lander-scale night survival is on their roadmap.,Courtesy email only. They will not enter a 1 kg open-source prize.,adjacent,yes,very low,no,high,Payload services / academic outreach,IM academic liaison,https://www.intuitivemachines.com/,
34,Astrobotic Griffin / CubeRover thermal,company,Pittsburgh PA,USA,"CubeRover is the closest commercial product to our 1 kg bar. Pittsburgh is also CMU MoonRanger territory — they already share a city with rank 2.","CubeRover thermal engineers are the right humans; the company is the wrong buyer. One email, ideally via the CMU relationship so it does not die in a BD inbox.",strong,yes,low,medium,high,CMU intro, or CubeRover payload-hosting team,CubeRover engineering,https://www.astrobotic.com/,"Ask whether a CubeRover-class hibernation demo is something a junior engineer can run publicly. If no, ask them to tweet the prize."
35,ORBITBeyond (Power-as-a-Service / night survival),company,USA,USA,Selling lunar night-survival as a service for a 2029/2030 south-pole lander.,"They need the capability, they do not yet have flight hardware, and a public 1 kg demo is actually on-strategy for a company that is pre-lander. Dark-horse commercial entry.",strong,unknown,medium,medium,medium,orbitbeyond.com contact / LinkedIn,ORBITBeyond engineering,https://orbitbeyond.com/,"Worth a real conversation, not a courtesy email. They are early enough that a prize result is useful."
36,Advanced Cooling Technologies (ACT),company,Lancaster PA,USA,"Thermal-control hardware company; NASA collaboration awardee; heat pipes / PCM / cryo products are their catalog. A 1 kg hibernation payload is a demo unit they could assemble from stock.","They sell the parts everyone else would buy. Entering themselves is a marketing decision. One email to their space-products lead.",strong,yes,low,medium,medium,ACT space / aerospace products,ACT aerospace lead,https://www.1-act.com/,Better as a parts sponsor (heat pipes, PCM) who also fields a house team.
37,Skycorp / Virtus Solis / X-Wheel (Watts on the Moon Phase 2 Level 1 alumni),small company,"Santa Clara CA / Troy MI / Hialeah FL",USA,"Three of the seven teams that won $200k in Watts Phase 2 Level 1. Already designed lunar-night energy systems. Not as famous as the final four, which is why they might still want a public win.","Prize-fluent, already spent a year on this problem, and they did not take home the big trophy. Pride is a real recruiting lever.",strong,mixed,medium,low,medium,Watts on the Moon alumni list via NASA Centennial Challenges,Team leads from the 2022 NASA announcement,https://www.nasa.gov/centers-and-facilities/glenn/seven-teams-advance-in-nasas-5m-watts-on-the-moon-challenge/,Batch email all three. Do not spend individual weeks on them until the final-four teams have answered.
38,Canopy Aerospace / Moonprint Solutions / KMI Space (NASA ACO / dust-and-thermal smalls),small company,various,USA,"Recent NASA Announcement of Collaboration Opportunity awardees working lunar dust covers, thermal, and attachment. Small enough that a $5k public demo is a press release.","Right size, adjacent problem. Night survival is a stretch from dust covers, but these are the 'we enter NASA things' shops.",adjacent,no,medium,low,low,NASA ACO awardee list,Company founders,https://www.nasa.gov/,"One batch email. Low priority until the Watts/Break-the-Ice alumni are exhausted."
39,City Labs (NanoTritium / BOHR),company,Miami FL,USA,"Flying a tritium betavoltaic in LEO; planning a tritium RHU. Night survival is their entire business — but it is nuclear, which our rules ban.","They will not enter under our rules. They might still amplify the prize ('even the nuclear people say the non-nuclear path is worth proving'). One email, framed as a press/amplification ask, not an entry ask.",banned by rules,yes,none as competitor,no,high,Press / academic outreach,City Labs comms,https://www.citylabs.net/,Do not invite them to compete. Invite them to comment.
40,Zeno Power,company,Washington DC / Seattle,USA,The company whose CEO called night survival 'the imperative.' Radioisotope systems. Collaborating with ispace-U.S.,Same as City Labs: they define the problem in public and cannot enter our non-nuclear prize. Ask them to amplify.,banned by rules,yes,none as competitor,no,very high,Tyler Bernstein / comms,Tyler Bernstein,https://www.zenopower.com/,"A quote from Bernstein on the prize page is worth more than an entry. Ask for that."
41,entX (RHU),company,Australia,Australia,Commercial RHU; flight-heritage demo planned Q4 2026 from Spaceport America.,Banned by the radioisotope rule. Amplification / quote only.,banned by rules,yes,none as competitor,no,medium,entX comms,Scott Edwards (COO),https://www.entx.com.au/radioisotope-heating-unit,Same as Zeno: quote, not entry.
42,Perpetual Atomics / University of Leicester americium RHU team,university + company,Leicester,UK,"Just produced the first Am-241 RHU core (ESA ENDURE). Deep cryo and radioisotope expertise.","Banned as a competitor by the nuclear rule. Leicester's non-nuclear thermal group is a different conversation — see rank 55.",banned by rules,yes,none as competitor,no,medium,University of Leicester space-nuclear comms,Leicester / Perpetual Atomics,https://www.space-park.co.uk/2026/04/first-americium-powered-radioisotope-heater-unit-core/,If they have a student group doing non-nuclear hibernation, that group can enter.
43,NASA Glenn lunar-hibernation electronics group (internal),gov lab,Cleveland OH,USA,"The group that published the 50 K COTS cold-start architecture this prize is based on. They cannot enter a prize they inspired, but they are the ideal judge panel and the ideal quote.","Not a competitor. Highest-value non-competitor in the entire landscape. Get them as judges / technical advisors before anyone else.",n/a (conflict),yes,n/a,n/a,very high,NASA Glenn Space Power Workshop authors; TechPort project page,Glenn hibernation electronics authors,https://ntrs.nasa.gov/citations/20240004406,"Do this conversation in week 1. If Glenn will judge, every competitor takes the prize more seriously."
44,NASA Marshall Environmental Test Facility (V-20 TVAC),gov lab,Huntsville AL,USA,The 20-foot chamber that already hosted Starpath and was offered as a Break the Ice perk.,Not a competitor. Highest-value HOST ask after MTU and Cal Poly. One conversation.,n/a,yes (they ARE the chamber),n/a,n/a,high,Centennial Challenges staff (Naveen Vetcha) as the warm intro; ETF management,Marshall ETF / Centennial Challenges,https://www.nasa.gov/directorates/stmd/prizes-challenges-crowdsourcing-program/centennial-challenges/lunar-challenge-winner-tests-technology-in-nasa-thermal-vacuum-chamber/,"Ask for leftover time, not a dedicated campaign. Even a 'we might host the common run' sentence in a press release is gold."
45,"Resonate Testing (commercial TVAC, free-access competition)",test house,UK,UK,"Already ran a free TVAC-access competition for New Space SMEs in Q1 2026. They give chamber time away as marketing.","Not a competitor. Best commercial HOST prospect in Europe, and they have already demonstrated the exact behaviour we need (give away chamber time to make a name).",n/a,yes,n/a,n/a,medium,resonatetesting.com/tvac-competition,Resonate Testing,https://www.resonatetesting.com/tvac-competition-resonate-testing/,"Ask them to be the European host node so non-US teams can run the same spec."
46,UCF CLASS / Exolith Lab + student teams,university lab,Orlando FL,USA,"Exolith is the simulant house; they hosted Lunabotics qualifying. Adjacent student CubeSat / planetary-science groups. Not a thermal lab first.","Low as a competitor (wrong specialty) but high as a NETWORK — they talk to every Lunabotics team. Ask them to forward the prize, not to enter.",adjacent,limited,low,low,medium,Exolith / CLASS academic outreach,CLASS / Exolith,https://sciences.ucf.edu/class/,"Use as a distribution node for the Lunabotics batch (ranks 14–21)."
47,Space Grant consortia (all 52) — as a distribution node,network,nationwide,USA,"Every Space Grant office has a mailing list of the exact student teams we want. This is not one competitor; it is the pipe.","Send ONE well-written announcement to the National Space Grant Foundation and ask them to forward. Highest-leverage single email on this list after the top 10 direct asks.",n/a,n/a,n/a,n/a,n/a,National Space Grant Foundation + state directors,Space Grant Foundation,https://www.spacegrant.org/,"Do this the same week as the top-10 calls. It is how the long tail of student teams hears about the prize."
48,AIAA student branches at aero schools (batch),student org,nationwide,USA,Every aero department has one. They need year-long projects.,Same as Space Grant: one announcement, not 50 conversations. The branches at schools already on this list will convert; the rest are lottery tickets.,medium,no,low,low,low,AIAA student-branch advisor list,AIAA student programs,https://www.aiaa.org/,"One email. Do not personalize beyond the schools in ranks 1–28."
49,Hackaday / Hackaday.io hardware community (as a channel + a few named builders),maker community,global,global,"This is the community that already builds $200–$2,000 vacuum chambers and competes for $150 gift cards. A $5,000 purse with a 354-hour stream is a front-page story for them.","Not one team — a channel that will produce 2–4 garage teams if the prize is written up on Hackaday. Highest-leverage earned-media ask in the GTM.",perfect,DIY,medium,low,high,"Hackaday tips line + a project page on Hackaday.io; pitch the editors during recruitment, not at market open",Hackaday editors,https://hackaday.com/,"Named individuals to invite once the writeup lands: anyone who has published a TVAC build on Hackaday.io in the last 5 years. Scrape that list the week the article runs."
50,EEVblog / Applied Science / ElectroBOOM-adjacent hardware YouTubers,creator,various,various,"Engineering YouTubers with vacuum, LN2, or cryo content. A 354-hour overnight stream is content they cannot buy.","One well-targeted outreach per creator. Most will not enter; one of them filming their attempt is worth more than three silent university entries.",strong,DIY,low,low,very high,YouTube / email / manager,Creator-specific,n/a,"Do not spray. Pick 3–5 who have actually handled LN2 or vacuum on camera. Offer to cover consumables."
51,Arko Robotics / published hobby TVAC builders,maker,various,USA,"The well-known ~$200 near-space chamber writeup and its descendants. These people have already failed at the temperature we need and know it.","High yes-rate, low chamber capability. Useful as 'The Rig' companion-prize entrants more than as Survive-the-Night entrants — unless they team with a lab.",medium,DIY (not cold enough yet),medium,low,medium,Blog comments / Hackaday project pages,Individual builders,https://arkorobotics.com/blog/?p=113,"Redirect the best of these to The Rig (P2). If P2 is not running, invite them as a team that will use a host chamber."
52,"UNISEC / university smallsat chapters outside the US (Japan, Europe, LatAm, Africa)",student network,global,global,"UNISEC is the international CubeSat student network. They published the PeTT Peltier-TVAC paper. Chapters in Japan, Europe, and the Global South already build 1U thermal hardware.","This is how the prize becomes international without us doing 40 country-specific outreach campaigns. One announcement through UNISEC-Global.",strong,mixed,medium,low,medium,UNISEC-Global secretariat / regional chapters,UNISEC-Global,https://www.unisec-global.org/,"Especially useful if Resonate (rank 45) will host a European run."
