performer,role,org_type,hq,country,program,agency,vehicle,year,amount,technology,lunar_night_relevance,p1_status,developing_what,partners,source
Astrobotic (Voyager Lunar Systems),integrator,company,Pittsburgh PA,USA,CS-8 standardized landers,NASA SMD,CLPS CS-8,2026,$297.9M for two deliveries,Peregrine-class production lander,integrator — night not in NASA award text,adjacent_integrator,Production-cadence lander; customer for ACT thermal toolbox and owner of NITE,ACT,https://www.nasa.gov/
Zeno Power,prime,company,"Washington DC / Seattle",USA,STRATFI space RPS,USAF / USSF,STRATFI,2022,~$30M,Sr-90 RPS satellite,dual-use; CEO cites lunar night as commercial case,banned_nuclear,Flight-ready RPS smallsat by mid-2020s,AFRL heritage SBIRs,https://spacenews.com/zeno-power-gets-30-million-to-build-radioisotope-powered-satellite-for-u-s-military/
Zeno Power,prime,company,"Washington DC / Seattle",USA,DEPTHS seabed RPS,DoD OE-I / ONR,contract,2023,$7.5M,Sr-90 Stirling RPS,same convertor stack as Harmonia,banned_nuclear,Seabed distributed power nodes; Stirling shared with lunar RSG,"Blue Origin; Sunpower; UDRI; PowerLight",https://www.geekwire.com/2023/zeno-power-underwater-radioisotope/
PowerLight Technologies,partner,company,USA,USA,DEPTHS,DoD,sub,2023,part of $7.5M,power beaming/distribution,adjacent (seabed not lunar),banned_nuclear,Energy distribution from seabed RPS,Zeno,https://tinyurl.com/DEPTHSPR
Zeno Power,prime,company,"Washington DC / Seattle",USA,EARENDIL EVA heaters,NASA STMD,NIAC 2026 Phase I,2026,standard NIAC Phase I (~$175k class),Am-241 wearable RHU,direct — lunar night and PSR EVA,banned_nuclear,Feasibility of Am-241 heat sources inside EVA suits,n/a,https://www.nasa.gov/directorates/stmd/earendil-extended-astronaut-radioisotope-eva-in-nighttime-and-deep-space-icy-landscapes/
Orano,fuel supply,company,France,France,Am-241 feedstock for Zeno,commercial + NASA path,supply agreement,2020s,undisclosed,Am-241,enabling,supply_chain,Americium supply for lunar RSG/RHU,Zeno,https://www.zenopower.com/
NorthStar (Vallecitos),manufacturing,company,Sunol CA,USA,Zeno nuclear-battery factory,commercial,hot-cell lease,2025-2026,undisclosed,hot cells,enabling,supply_chain,Restore Vallecitos hot cells for RPS production,Zeno,https://www.zenopower.com/
Westinghouse,heat-source facility,company,USA,USA,Zeno RPS assembly,commercial,facility use,2020s,undisclosed,radiological assembly,enabling,supply_chain,Build/assemble initial RPSs,Zeno,https://www.nationalacademies.org/cdn/materials/9fba0a09-f216-4561-8ad7-733649641edd
DOE Oak Ridge Office of Environmental Management,fuel recycle,gov,Oak Ridge TN,USA,BUP-500 Sr-90 recycle,DOE,partnership,2024,undisclosed,Sr-90,enabling (DoD systems; not lunar Am-241),supply_chain,Recycle legacy RPS into fuel for 10+ Zeno units,Zeno; ORNL,https://www.zenopower.com/
Pacific Northwest National Laboratory,test,gov lab,Richland WA,USA,Zeno Sr-90 heat source,DOE,demo support,2023,undisclosed,Sr-90 heat source,enabling,supply_chain,First Zeno Sr-90 nuclear heat source demo,Zeno,https://tinyurl.com/DEPTHSPR
City Labs,prime,company,Miami FL,USA,Autonomous Tritium Micropowered Sensors,NASA STMD,NIAC 2024,2024,standard NIAC Phase I,tritium betavoltaic ChipSats,direct — PSR sensors at −248 °C,banned_nuclear,cm-scale tritium-powered probes for south-pole PSRs,Cornell (Mason Peck),https://www.nasa.gov/general/autonomous-tritium-micropowered-sensors/
Cornell University (Mason Peck),partner,university,Ithaca NY,USA,Tritium ChipSat sensors,NASA STMD,NIAC 2024 sub,2024,n/a,ChipSat bus,direct — PSR,banned_nuclear,ChipSat platform for City Labs batteries,City Labs,https://citylabs.net/partners/nasa/
City Labs,prime,company,Miami FL,USA,Rads to Watts,DARPA,R2W,2026,$1.5M,watt-class tritium radiovoltaics,space / PSR / unattended systems,banned_nuclear,10 W/kg radiovoltaic cells and new tritium hydrides,Microlink Devices,https://citylabs.net/city-labs-darpa-contract-2026/
Microlink Devices,sub,company,USA,USA,Rads to Watts,DARPA,sub to City Labs,2026,part of $1.5M,radiovoltaic cells,adjacent,banned_nuclear,Watt-class cells,City Labs,https://citylabs.net/city-labs-darpa-contract-2026/
City Labs,prime,company,Miami FL,USA,BOHR CubeSat,NASA / DoD funded,orbital demo,2026,undisclosed,NanoTritium betavoltaic,on-orbit shadow demo; lunar RHU planned ~2027,banned_nuclear,First commercial nuclear CubeSat payload,n/a,https://spacenews.com/startup-testing-nuclear-battery-technology-in-orbit/
Arizona State University,prime,university,Tempe AZ,USA,Rads to Watts,DARPA,R2W,2026,undisclosed,radiovoltaics,space extreme environments,banned_nuclear,High-power radiation-resilient radiovoltaic cells,undisclosed,https://www.ans.org/news/2026-07-07/article-8185/seven-projects-selected-for-darpas-rads-to-watts/
Avalanche Energy,prime,company,USA,USA,Rads to Watts,DARPA,R2W,2026,undisclosed,alpha-emitter radiovoltaics,space / fusion dual-use,banned_nuclear,Direct conversion from alpha emitters,n/a,https://www.ans.org/news/2026-07-07/article-8185/seven-projects-selected-for-darpas-rads-to-watts/
BWX Technologies,prime,company,USA,USA,Rads to Watts,DARPA,R2W,2026,undisclosed,alpha radiovoltaics + radiation-tolerant semiconductors,space,banned_nuclear,Deposited semiconductor on alpha emitters,"JHU APL; University of Michigan",https://www.ans.org/news/2026-07-07/article-8185/seven-projects-selected-for-darpas-rads-to-watts/
Morgan State University,prime,university,Baltimore MD,USA,Rads to Watts,DARPA,R2W,2026,undisclosed,Sr-90 beta radiovoltaics,space / unattended,banned_nuclear,Higher-energy beta cells vs tritium,"Project Omega; Northrop Grumman",https://breakingdefense.com/2026/07/how-darpa-plans-to-get-nuclear-power-in-the-size-of-aa-battery/
University of Missouri,prime,university,Columbia MO,USA,Rads to Watts,DARPA,R2W,2026,undisclosed,radiovoltaics,space extreme environments,banned_nuclear,Radiovoltaic cells,undisclosed,https://www.ans.org/news/2026-07-07/article-8185/seven-projects-selected-for-darpas-rads-to-watts/
University of North Carolina at Chapel Hill,prime,university,Chapel Hill NC,USA,Rads to Watts,DARPA,R2W,2026,undisclosed,radiovoltaics,space extreme environments,banned_nuclear,Radiovoltaic cells,undisclosed,https://www.ans.org/news/2026-07-07/article-8185/seven-projects-selected-for-darpas-rads-to-watts/
Perpetual Atomics,prime designer,company,Leicester,UK,ENDURE Am-RHU / RPS,ESA / UKSA,ENDURE,2022-2026,UKSA ~£22M programme contribution (shared),Am-241 RHU RTG Stirling,direct — lunar night / PSR / Argonaut / Rosalind Franklin,banned_nuclear,Gen-5 Am-RHU vibe+TVAC qualified; first Am-241 RHU core,University of Leicester; NNL; QSA Global; Framatome; Amentum,https://le.ac.uk/news/2026/april/major-qualification-milestone-americium-radioisotope-heater-unit
University of Leicester / Space Park Leicester,lab lead,university,Leicester,UK,ENDURE,ESA / UKSA,ENDURE + UK IBF,2010-2026,programme-level,Am-241 RHU/RTG,direct,Design safety test of European RPS; ispace Series 3 consulting,Perpetual Atomics; NNL; ispace EUROPE,https://le.ac.uk/news/2024/may/ispace
UK National Nuclear Laboratory,fuel,gov lab,Cumbria,UK,Am-241 production,UKSA / ESA,ENDURE fuel,2009-ongoing,UKSA new lab ~£19M cited,Am-241 extraction and pelleting,enabling,supply_chain,Only UK Am-241 producer from civil Pu stocks,Leicester,https://uknnl.com/customer-solutions/space-exploration/americium-241-production/
Framatome,industrial fuel,company,France / UK,France,ENDURE sealed sources,ESA,ENDURE contract,2025,undisclosed,sealed Am-241 fuel sources,enabling,supply_chain,Sovereign European sealed-source production,Perpetual Atomics; Amentum,https://www.framatome.com/medias/framatome-selected-by-the-european-space-agency-to-provide-industrial-production-capability-of-sealed-fuel-sources-for-radioisotope-power-systems/?lang=en
Amentum,regulatory/PM,company,UK / USA,UK,ENDURE industrialisation,ESA,ENDURE,2025,undisclosed,licensing / safety case,enabling,supply_chain,Nuclear regulatory framework for RPS production,Framatome; Perpetual Atomics,https://www.neimagazine.com/news/esa-taps-framatome-for-space-fuel/
QSA Global,fuel core,company,Burlington MA,USA,Am-241 RHU core,ESA ENDURE collab,commercial + ENDURE,2026,undisclosed,ceramic Am-241 pellets in metal containment,direct enabling,supply_chain,First full-scale Am-241 RHU core,Perpetual Atomics; Leicester,https://le.ac.uk/news/2026/april/perpetual-atomics-qsa-global-americium-powered-radioisotope-heater-unit-core
ispace EUROPE,integrator,company,Luxembourg,Luxembourg,Series 3 RHU feasibility,UKSA,International Bilateral Fund Phases I-II,2024,undisclosed,RHU integration study,direct — Series 3 lander/rovers,banned_nuclear as RHU path,Consulting agreement with Leicester on Am-RHU night survival,University of Leicester,https://www.ispace-inc.com/news-en/?p=5446
ispace inc.,integrator,company,Tokyo,Japan,Series 3 / ULTRA lander,METI,SBIR,2023,up to ¥12B,lunar lander with night-ops goal,integrator shopping RHUs,adjacent_integrator,Lander development; Mission 4 targets long-term / lunar-night ops,Leicester; Zeno; entX as payload options,https://www.ispace-inc.com/news-en/?p=5068
ispace inc.,integrator,company,Tokyo,Japan,Polar landing + night ops,JAXA,Space Strategy Fund Phase 2,2026,undisclosed grant,high-precision polar landing + long-term ops,direct mission goal,adjacent_integrator,Mission 4 south-pole long-term / night survival operations,ULTRA lander,https://www.ispace-inc.com/2026/08/07/ispace-receives-grant-for-japans-space-strategy-fund-project-high-precision-landing-technology-in-the-lunar-poles-region/
ispace-U.S.,integrator,company,Colorado,USA,Zeno RPS lunar demo MOU,NASA-adjacent commercial,MOU,2025,n/a,RPS on U.S. ispace missions,direct — target 2027 demo,banned_nuclear,Integrate Zeno RPS,Zeno,https://ispace-inc.com/news-en/?p=7251
entX,prime,company,South Australia,Australia,Lunar RHU demo study,Government of South Australia,SASIC Round 2,2025,AUD $200k,RHU,direct,banned_nuclear,Study to fly entX RHU on ispace,ispace,https://ispace-inc.com/news-en/?p=7268
The Aerospace Corporation,prime,FFRDC,El Segundo CA,USA,APPLE,NASA STMD,NIAC Phase I+II,2021-2022,Phase II ~$600k,modular Pu-238/Am-241 thermoelectric tiles,papers include small lunar-night experiments,banned_nuclear,Isotope-agnostic planar RPS tiles,ORNL; JPL,https://www.nasa.gov/general/atomic-planar-power-for-lightweight-exploration-apple/
Oak Ridge National Laboratory,partner,gov lab,Oak Ridge TN,USA,APPLE,NASA / DOE,NIAC Phase I radiation test,2021,n/a,radiation testing,enabling,supply_chain,Radiation test of APPLE architecture,Aerospace Corp,https://aerospace.org/press-release/prototype-spacecraft-power-system-deep-space-secures-600k-nasa-grant
Jet Propulsion Laboratory,partner,gov lab,Pasadena CA,USA,APPLE,NASA,NIAC Phase II,2022,n/a,mission/system,adjacent,banned_nuclear,Phase II partner on APPLE,Aerospace Corp,https://aerospace.org/press-release/prototype-spacecraft-power-system-deep-space-secures-600k-nasa-grant
USNC-Tech (Ultra Safe Nuclear),prime (defunct),company,Seattle WA,USA,EmberCore Flashlight,NASA STMD,NIAC 2023 Phase I,2023,standard NIAC Phase I,nuclear chargeable ceramic heat/x-ray source,direct — EmberCore pitched as lunar-night heat,status_unclear_post_bankruptcy,Radioisotope heat for rovers plus x-ray PSR flashlight,Planetary Science Institute,https://www.nasa.gov/general/embercore-flashlight-long-distance-lunar-characterization-with-intense-passive-x-and-gamma-ray-source/
Planetary Science Institute,co-I,nonprofit,USA,USA,EmberCore Flashlight,NASA STMD,NIAC 2023,2023,n/a,science payload,adjacent,status_unclear_post_bankruptcy,Co-I Thomas Prettyman,USNC,https://www.usnc.com/embercore-selected-for-x-ray-flashlight-study-nasa-niac/
USNC-Tech,prime (defunct),company,Seattle WA,USA,EmberCore high-dV,DIU,prototype award,2022,undisclosed,radioisotope heat/power,space power; lunar night was a USNC talking point,status_unclear_post_bankruptcy,Chargeable encapsulated radioisotope battery,Reed College irradiation (2021),https://www.usnc.com/ultra-safe-nuclear-selected-by-diu-for-high-delta-v-nuclear-small-spacecraft-prototype/
NANO Nuclear Energy,IP inheritor,company,USA,USA,Pylon space reactor IP,commercial via Ch.11,asset purchase,2024,$8.5M,space microreactor,habitat/lander-scale sun-independent power,wrong_scale,Acquired USNC Pylon/MMR IP; EmberCore radioisotope line not clearly included,ex-USNC,https://nanonuclearenergy.com/nano-nuclear-energy-enters-into-agreement-to-acquire-ultra-safe-nuclear-corp-s-patented-micro-modular-reactor-mmr-and-pylon-space-reactors-for-8-5-million-along-with-worldwide-demonstr/
Astrobotic (ex-Masten NITE),prime,company,Pittsburgh PA,USA,NITE / MOWS chemical heater,NASA STMD,SBIR I/II + Tipping Point,2019-2020,SBIR + $2.8M TP,metal-oxidation heat + fuel cell electricity,direct — 5 W thermal for one lunar night,eligible_non_nuclear,Non-nuclear chemical heater/power attachment for landers/rovers/payloads,Penn State ARL; Honeybee Robotics,https://www.nasa.gov/technology/2020-nasa-tipping-point-selections/
Penn State Applied Research Lab,sub,university lab,University Park PA,USA,MOWS / NITE,NASA STMD,SBIR sub,2019-2020,n/a,metal oxidation chemistry,direct,eligible_non_nuclear,Reaction downselect and breadboard,Masten/Astrobotic,https://sbir.org/awards/nasa-80NSSC19C0508-1
Honeybee Robotics,sub,company,USA,USA,NITE,NASA STMD,SBIR sub,2020s,n/a,electronics/subsystems,direct,eligible_non_nuclear,Electronic systems on chemical heater,Astrobotic,https://masten.aero/blog/surviving-the-lunar-night-with-mastens-nite-system/
Advanced Cooling Technologies,prime,company,Lancaster PA,USA,Lunar vehicle/payload TMS,NASA STMD,SBIR Sequential Phase II,2021-2022,$5M,VCHP LHP TCV thermal switch PCM,direct — shut off heat rejection at night,eligible_non_nuclear,Passive thermal toolbox so small landers/rovers survive without battery heaters,Astrobotic (sub; Peregrine/Griffin/CubeRover baselines); NASA Marshall/JSC heritage,https://www.1-act.com/about/news/surviving-the-lunar-night/
Astrobotic,sub,company,Pittsburgh PA,USA,ACT TMS validation,NASA STMD,sub to ACT Sequential Phase II,2021,part of $5M,lander thermal architectures,direct,eligible_non_nuclear,Validate ACT devices on commercial lander/rover thermal designs,ACT,https://spacenews.com/nasa-funds-thermal-control-solutions-for-harsh-lunar-environments/
ThermAvant Technologies,prime,company,Columbia MO,USA,OHP thermal wadi,NASA STMD,SBIR,2020,Phase II class,oscillating heat pipes + buried regolith heat store,direct — rover parking plate through night,eligible_non_nuclear,OHPs as thermal switches into a sintered-regolith hot sink,n/a,https://sbir.org/awards/nasa-80NSSC20C0273-1
ThermAvant Technologies,prime,company,Columbia MO,USA,Active thermal-switching OHP radiator,NASA STMD,SBIR Phase I,2025,$156463,OHP radiator >600:1 turndown,direct — lunar science night survival,eligible_non_nuclear,Freeze-tolerant switching radiator,n/a,https://www.highergov.com/contract/80NSSC25C0374/
Creare,prime,company,Hanover NH,USA,Freeze-tolerant radiator,NASA STMD,SBIR,2021-2023,Phase I/II class,variable-conductance freeze-tolerant radiator,direct — lunar night heat rejection without freeze-blockage,eligible_non_nuclear,Radiator that intentionally freezes distal end as insulation,n/a,https://sbir.org/awards/nasa-80NSSC23PB412-1
NASA Glenn hibernation electronics group,gov performer,gov lab,Cleveland OH,USA,Lunar power hibernation,NASA STMD,in-house,2021-ongoing,n/a,cryo-operable COTS power electronics + freeze-thaw Li-ion,direct — P1 architecture,judge_not_competitor,S3R operational to 50 K; cold start 57 K; dawn battery preheat,n/a,https://ntrs.nasa.gov/citations/20240004406
Fort Wayne Metals,industry partner,company,Fort Wayne IN,USA,LESTR 1,NASA Glenn,facility transfer,2020s,n/a,shape-memory alloys at 40 K,materials for night-cold structures,adjacent_materials,Uses Glenn LESTR to test SMA at lunar-night temps,NASA Glenn,https://www.nasa.gov/general/nasa-technology-mimics-extreme-lunar-night/
JPL (David Bugby thermal),gov performer,gov lab,Pasadena CA,USA,Passive thermal palette,NASA,in-house,ongoing,n/a,reverse thermal switch 2500:1 MLI,direct — CubeSat-scale night without RHU,judge_or_parts,Passive switches and wrappers for small instruments,Morehead State / instrument PIs,https://lsic.jhuapl.edu/uploadedDocs/presentations/1615-Clark%20LSIC%20thermal%20and%20power%20workshop%202022.pdf
Virginia Tech (Austin Phoenix),prime,university,Blacksburg VA,USA,ECLIPSE,NASA STMD,NIAC 2026 Phase I,2026,standard NIAC Phase I,SMA variable-conductivity metamaterial,direct — small surveyors survive night without heaters,eligible_non_nuclear,Passive insulator/switch skin for CubeSat-scale rovers,n/a,https://www.nasa.gov/directorates/stmd/niac/eclipse-efficient-variable-conductivity-lunar-insulator-for-passive-surveyor-environmental-control/
UCSB Experimental Cosmology (Philip Lubin) H.E.L.P.S.,winner,university lab,Santa Barbara CA,USA,Watts on the Moon,NASA STMD,Centennial Challenge,2024,$1M,800 V transmission + dual-end batteries + variable radiation shield,direct — Glenn TVAC PSR-night sim,eligible_alumni,Lowest-mass highest-efficiency night power transmission/storage,n/a,https://www.nasa.gov/news-release/nasa-awards-1-5-million-at-watts-on-the-moon-challenge-finale/
Orbital Mining Corporation,2nd place,startup,Golden CO,USA,Watts on the Moon,NASA STMD,Centennial Challenge,2024,$500k,HV DC converter + Li-ion,direct — completed 48 h night sim,eligible_alumni,High-voltage converter through sunless lunar night,n/a,https://www.nasa.gov/news-release/nasa-awards-1-5-million-at-watts-on-the-moon-challenge-finale/
Ohio State Electric Moon,finalist,university,Columbus OH,USA,Watts on the Moon,NASA STMD,Centennial Challenge,2023-2024,prize share,km-scale HV transmission,direct — Glenn TVAC,eligible_alumni,6 km field demo then vacuum-chamber night test,n/a,https://www.nasa.gov/centers-and-facilities/marshall/four-teams-win-prizes-to-advance-energy-technology-for-moon-missions/
Michigan Tech PSTDL,finalist,university lab,Houghton MI,USA,Watts on the Moon,NASA STMD,Centennial Challenge,2023-2024,prize share,TEMPEST tethered storage/transmission,direct,eligible_alumni,Rover-delivered battery hub for night power,n/a,https://www.nasa.gov/centers-and-facilities/marshall/four-teams-win-prizes-to-advance-energy-technology-for-moon-missions/
Skycorp,Phase 2 L1,company,Santa Clara CA,USA,Watts on the Moon,NASA STMD,Centennial Challenge,2022,$200k,lunar energy architecture,direct (design),eligible_alumni,Phase 2 Level 1 night-power design,n/a,https://www.nasa.gov/centers-and-facilities/glenn/seven-teams-advance-in-nasas-5m-watts-on-the-moon-challenge/
Virtus Solis Technologies,Phase 2 L1,company,Troy MI,USA,Watts on the Moon,NASA STMD,Centennial Challenge,2022,$200k,thermoelectric storage,direct (design),eligible_alumni,Highly efficient thermoelectric storage for small lunar loads,n/a,https://www.nasa.gov/centers-and-facilities/glenn/seven-teams-advance-in-nasas-5m-watts-on-the-moon-challenge/
X-Wheel Inc.,Phase 2 L1,company,Hialeah FL,USA,Watts on the Moon,NASA STMD,Centennial Challenge,2022,$200k,lunar energy architecture,direct (design),eligible_alumni,Phase 2 Level 1 night-power design,n/a,https://www.nasa.gov/centers-and-facilities/glenn/seven-teams-advance-in-nasas-5m-watts-on-the-moon-challenge/
pH Matter,prime,company,Columbus OH,USA,Regenerative fuel cell,NASA STMD,Tipping Point,2020,$3.4M,reversible regenerative fuel cell,lander/infrastructure energy storage through darkness,adjacent_scale,Lunar-surface energy storage fuel cell,NASA Glenn,https://www.nasa.gov/technology/2020-nasa-tipping-point-selections/
Precision Combustion,prime,company,North Haven CT,USA,SOFC from propellants,NASA STMD,Tipping Point,2020,$2.4M,solid oxide fuel cell,ISRU/propellant power; not specifically night-hibernate,adjacent_scale,SOFC on CH4/O2,n/a,https://www.nasa.gov/technology/2020-nasa-tipping-point-selections/
Teledyne Energy Systems,prime,company,Hunt Valley MD,USA,Hydrogen fuel cell 10k hours,NASA STMD,Tipping Point,2020,$2.8M,H2 fuel cell,long-life surface power,adjacent_scale,10 000-hour hydrogen electrical power system,n/a,https://www.nasa.gov/technology/2020-nasa-tipping-point-selections/
Astrobotic,prime,company,Pittsburgh PA,USA,Lunar wireless charging,NASA STMD,Tipping Point,2020,$5.8M,wireless charging,surface assets that must still work after night,adjacent_scale,Flight wireless chargers for commercial landers,NASA Glenn,https://www.nasa.gov/technology/2020-nasa-tipping-point-selections/
Astrobotic,prime,company,Pittsburgh PA,USA,LunaGrid-Lite,NASA STMD,Tipping Point,2023,$34.6M,1 km HV cable + CubeRover,PSR/night power distribution,adjacent_scale,Robotic deployment of lunar power cable,NASA Glenn,https://www.nasa.gov/general/2023-nasa-tipping-point-selections/
Sunpower,convertor,company,USA,USA,DRPS Stirling,NASA Glenn / DOE,DRPS contract,2020s,undisclosed,Stirling convertor,explicit lunar-night / PSR use case,banned_nuclear,Dynamic RPS convertor IV&V at Glenn,Aerojet Rocketdyne / L3Harris,https://science.nasa.gov/science-research/science-enabling-technology/technology-highlights/surviving-the-lunar-night-drps-could-enable-the-power-to-explore/
American Semiconductor,convertor,company,USA,USA,DRPS Stirling,NASA Glenn / DOE,DRPS contract,2020s,undisclosed,Stirling convertor,explicit lunar-night / PSR use case,banned_nuclear,Dynamic RPS convertor,Teledyne Energy Systems,https://science.nasa.gov/science-research/science-enabling-technology/technology-highlights/surviving-the-lunar-night-drps-could-enable-the-power-to-explore/
Teledyne Energy Systems,convertor,company,Hunt Valley MD,USA,DRPS Stirling,NASA Glenn / DOE,DRPS contract,2020s,undisclosed,Stirling convertor,explicit lunar-night / PSR use case,banned_nuclear,Dynamic RPS convertor with American Semiconductor,American Semiconductor,https://science.nasa.gov/science-research/science-enabling-technology/technology-highlights/surviving-the-lunar-night-drps-could-enable-the-power-to-explore/
Creare,convertor,company,Hanover NH,USA,DRPS Turbo-Brayton,NASA Glenn / DOE,DRPS contract,2020s,undisclosed,Turbo-Brayton convertor,explicit lunar-night / PSR use case,banned_nuclear,Dynamic RPS convertor,Aerojet Rocketdyne / L3Harris,https://science.nasa.gov/science-research/science-enabling-technology/technology-highlights/surviving-the-lunar-night-drps-could-enable-the-power-to-explore/
L3Harris (ex Aerojet Rocketdyne),partner,company,USA,USA,DRPS + FSP,NASA / DOE,multiple,2022+,part of DRPS and $5M FSP,convertors / FSP partner,habitat and RPS,wrong_scale_or_nuclear,DRPS partner; FSP Phase 1 with Westinghouse,Westinghouse; Creare; Sunpower,https://science.nasa.gov/science-research/science-enabling-technology/technology-highlights/surviving-the-lunar-night-drps-could-enable-the-power-to-explore/
Lockheed Martin,prime,company,Bethesda MD,USA,Fission Surface Power Phase 1,NASA + DOE/INL,concept contract,2022,$5M,40 kWe lunar reactor,habitat-scale sun-independent power,wrong_scale,10-year 40 kWe FSP concept,BWXT; Creare,https://www.nasa.gov/exploration-systems-development-mission-directorate/fission-surface-power/
BWX Technologies,sub,company,USA,USA,FSP Phase 1,NASA + DOE,sub to Lockheed,2022,part of $5M,reactor,habitat-scale,wrong_scale,FSP reactor,Lockheed; Creare,https://ntrs.nasa.gov/api/citations/20220014952/downloads/Tofil%20ASCEND%20Oct%202022%20Rev%20C.pdf
Creare,sub,company,Hanover NH,USA,FSP Phase 1,NASA + DOE,sub to Lockheed,2022,part of $5M,power conversion,habitat-scale,wrong_scale,FSP conversion,Lockheed; BWXT,https://ntrs.nasa.gov/api/citations/20220014952/downloads/Tofil%20ASCEND%20Oct%202022%20Rev%20C.pdf
IX (Intuitive Machines + X-Energy),prime,JV,USA,USA,FSP Phase 1,NASA + DOE/INL,concept contract,2022,$5M,40 kWe lunar reactor,habitat-scale,wrong_scale,FSP concept,Maxar; Boeing,https://ntrs.nasa.gov/api/citations/20220014952/downloads/Tofil%20ASCEND%20Oct%202022%20Rev%20C.pdf
X-Energy,JV partner,company,USA,USA,FSP Phase 1,NASA + DOE,IX JV,2022,part of $5M,reactor,habitat-scale,wrong_scale,FSP reactor,Intuitive Machines; Maxar; Boeing,https://ntrs.nasa.gov/api/citations/20220014952/downloads/Tofil%20ASCEND%20Oct%202022%20Rev%20C.pdf
Maxar,partner,company,USA,USA,FSP Phase 1,NASA + DOE,sub to IX,2022,part of $5M,space segment,habitat-scale,wrong_scale,FSP partner,IX,https://ntrs.nasa.gov/api/citations/20220014952/downloads/Tofil%20ASCEND%20Oct%202022%20Rev%20C.pdf
Boeing,partner,company,USA,USA,FSP Phase 1,NASA + DOE,sub to IX,2022,part of $5M,space segment,habitat-scale,wrong_scale,FSP partner,IX,https://ntrs.nasa.gov/api/citations/20220014952/downloads/Tofil%20ASCEND%20Oct%202022%20Rev%20C.pdf
